/* Unit: gC/m2/yr */
Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17,,,
N Asia,2006,515.43,0.00,452.31,591.88,537.32,321.63,196.20,450.16,319.44,173.81,50.58,372.80,21.59,436.42,2.17,13.86,17.98,,,
S Asia,2006,928.69,1359.21,763.62,687.65,740.74,432.89,38.82,970.08,627.98,246.47,62.83,355.68,31.04,646.20,2.71,9.82,0.93,,,
SE Asia,2006,943.56,1322.07,47.93,1112.28,1256.95,722.76,543.05,1034.79,908.63,740.76,190.16,663.29,93.23,824.39,50.00,61.10,0.31,,,
SW Asia,2006,879.69,1072.29,554.66,963.38,890.79,716.26,94.91,919.40,722.02,300.74,339.55,415.28,20.52,923.01,10.81,2.98,0.60,,,
Central Asia,2006,528.90,1.13,560.19,666.63,660.25,561.51,45.30,590.70,505.61,174.34,88.33,306.71,10.00,488.35,1.93,11.27,0.12,,,
Central America,2006,463.21,1487.44,0.00,1279.46,1487.28,693.39,643.89,1287.48,964.52,961.40,226.36,921.25,128.64,962.32,0.00,74.34,0.08,,,
South America,2006,868.21,1403.23,305.11,516.78,729.12,826.14,242.84,905.08,814.14,635.87,122.84,715.71,13.52,896.17,1.84,36.38,1.22,,,
North America,2005,691.31,1447.25,570.94,899.17,791.20,608.16,222.47,630.63,415.19,210.85,87.58,560.81,58.96,777.78,1.27,14.79,12.19,,,
Europe,2005,668.48,1248.15,339.05,958.58,747.32,524.28,243.00,646.58,629.09,451.73,172.11,640.91,32.13,786.00,0.34,8.78,0.93,,,
Africa,2005,1178.87,1265.89,576.14,871.79,963.75,513.59,186.52,1096.16,820.98,356.81,90.36,392.84,82.52,618.90,11.12,0.64,0.15,,,
Australia,2005,1958.36,2070.64,0.00,1330.95,1507.42,345.52,107.54,1079.28,831.95,445.12,253.83,690.98,77.83,1547.11,0.18,14.06,0.50,,,
E Asia,2005,876.82,1240.95,661.39,764.87,844.63,497.30,82.45,803.08,716.98,252.46,185.55,492.86,122.06,661.81,1.45,5.66,0.32,,,
